Origin Page,Destination Page,Link Text,Sentence Text,Wikidata Property Label,Direction
Emma Stone,The Amazing SpiderMan 2,its 2014 sequel,Stone gained wider recognition as Gwen Stacy in the 2012 superhero film The Amazing SpiderMan and its 2014 sequel,P161,Backwards
Sustainable Development Goal 3,Sustainable Development Goals,Sustainable Development Goals,Sustainable Development Goal 3 SDG 3 or Global Goal 3 regarding Good Health and Wellbeing is one of the 17 Sustainable Development Goals established by the United Nations in 2015,P361,Forwards
Bosnia and Herzegovina,Croatia,Croatia,Bosnia and Herzegovina is bordered by Serbia to the east Montenegro to the southeast and Croatia to the north and southwest,P530,Backwards
Charles Clarke botanist,Australia,Australia,Clarke born in Melbourne Australia is an ecologist and botanist specialising in the carnivorous plant genus Nepenthes for which he is regarded as a World Authority,P27,Forwards
Timeline of global health,Global health,global health,This page is a timeline of global health including major conferences interventions cures and crises,P1269,Forwards
Kokotuku Peninsula,Indonesia,Indonesia,The Kokotuku Peninsula is a 986 hectare tropical land mass located 20 kilometers north of the city of Labuan Bajo West Manggarai Flores NTT Indonesia,P17,Forwards
Climate change in India,India,India,Climate change in India is having profound effects on India which is  ranked fourth among the list of countries most affected by climate change in the period from 1996 to 2015 India emits about 3 gigatonnes Gt CO2eq of greenhouse gases each year about two and a half tons per person which is half the world average,P17,Forwards
Metro Manila,Muntinlupa,Muntinlupa,It is composed of 16 cities the city of Manila Quezon City Caloocan Las Piñas Makati Malabon Mandaluyong Marikina Muntinlupa Navotas Parañaque Pasay Pasig San Juan Taguig and Valenzuela as well as the municipality of Pateros,P131,Backwards
Croatia,European Union,European Union,It is a member of the European Union the United Nations the Council of Europe NATO the World Trade Organization and a founding member of the Union for the Mediterranean,P463,Forwards
F Stuart Chapin III,Ecological Society of America,Ecological Society of America,He was President of the Ecological Society of America ESA from August 2010 until 2011,P463,Forwards
United Nations General Assembly,United Nations General Assembly resolution,resolutions,The UNGA is responsible for the UN budget appointing the nonpermanent members to the Security Council appointing the SecretaryGeneral of the United Nations receiving reports from other parts of the UN system and making recommendations through resolutions,P467,Backwards
World Conservation Award,World Wide Fund for Nature,World Wide Fund for Nature,The World Conservation Award is issued by many of the national Scout associations affiliated to the World Organization of the Scout Movement and was created in conjunction with the World Wide Fund for Nature partially in response to the rise in popularity of Green Scouting at some time prior to 1977,P1027,Forwards
White rhinoceros,Northern white rhinoceros,northern white rhinoceros,The white rhinoceros consists of two subspecies the southern white rhinoceros with an estimated 19682–21077 wildliving animals in the year 2015 and the much rarer northern white rhinoceros,P279,Backwards
Myanmar,China,China,Myanmar is bordered by Bangladesh and India to its northwest China to its northeast Laos and Thailand to its east and southeast and the Andaman Sea and the Bay of Bengal to its south and southwest,P47,Forwards
Rwanda,Uganda,Uganda,Located a few degrees south of the Equator Rwanda is bordered by Uganda Tanzania Burundi and the Democratic Republic of the Congo,P47,Backwards
BrongAhafo region,Ghana,Ghana,The BrongAhafo region was a region in southern Ghana,P131,Forwards
United Kingdom,European Union,European Union,It was a member of the European Union EU and its predecessor the European Economic Community EEC from 1973 until withdrawing in 2020,P463,Forwards
Renewable energy,Geothermal power,Geothermal,Geothermal,P279,Backwards
Health in Iran,Iran,Iran,As for many developing countries health issues in Iran stem from a variety of reasons namely water and sanitation diet and fitness various addictions mental fitness communicable diseases hygiene and the environment,P17,Forwards
Perak,Pahang,Pahang,Perak has land borders with the Malaysian states of Kedah to the north Penang to the northwest Kelantan and Pahang to the east and Selangor to the south,P47,Backwards
Greenpeace,Whaling,commercial whaling,Greenpeace states its goal is to ensure the ability of the Earth to nurture life in all its diversity and focuses its campaigning on worldwide issues such as climate change deforestation overfishing commercial whaling genetic engineering and antinuclear issues,P101,Forwards
Tiger,Endangered species,Endangered,The tiger is listed as Endangered on the IUCN Red List,P141,Forwards
Pearce Paul Creasman,University of Arizona,University of Arizona,From 2009 to 2020 he was a professor at the University of Arizona where he served as director of the Egyptian Expedition,P108,Forwards
Ecological indicator,Environmental indicator,environmental indicator,The terms ecological indicator and environmental indicator are often used interchangeably,P1889,Backwards
Denmark,Copenhagen,Copenhagen,The government and national parliament are seated in Copenhagen the nations capital largest city and main commercial centre,P1376,Backwards
United Nations Conference on Trade and Development,Geneva,Geneva,Currently UNCTAD has 195 member states and is headquartered in Geneva Switzerland,P159,Forwards
Uddhav Thackeray,Rashmi Thackeray,Rashmi Thackeray,Leader of the House Legislative Assembly MaharashtraIncumbentAssumed office3228 November 2019GovernorBhagat Singh KoshyariSpeakerNana PatoleDeputy LeaderAjit PawarPreceded byDevendra FadnavisLeader of the House Legislative Council  MaharashtraIncumbentAssumed office3218 May 2020GovernorBhagat Singh KoshyariChairmanRamraje Naik NimbalkarDeputy LeaderSubhash DesaiPreceded byChandrakant PatilMember of Legislative CouncilMaharashtraIncumbentAssumed office3214 May 2020ConstituencyElected by MLAsPresident of Shiv SenaIncumbentAssumed office3223 January 2013Working President 2003–13Preceded byBal ThackerayPresident of Maha Vikas AghadiIncumbentAssumed office3226 November 2019ChairpersonSharad PawarSecretaryBalasaheb ThoratPreceded byPosition establishedEditorinchief of SaamanaIn office20 June 2006160–3228 November 2019Preceded byBal ThackeraySucceeded byRashmi Thackeray,P26,Backwards
Kerala,India,India,Kerala English ˈkɛrələ Malayalam160keɾɐɭɐm32listen is a state on the southwestern coast of India,P131,Forwards
Agriculture,Intensive farming,Intensive,Intensive,P279,Backwards
Sustainable Development Goals,Sustainable Development Goal 10,Reducing Inequality,The 17 SDGs are 1 No Poverty 2 Zero Hunger 3 Good Health and Wellbeing 4 Quality Education 5 Gender Equality 6 Clean Water and Sanitation 7 Affordable and Clean Energy 8 Decent Work and Economic Growth 9 Industry Innovation and Infrastructure 10 Reducing Inequality 11 Sustainable Cities and Communities 12 Responsible Consumption and Production 13 Climate Action 14 Life Below Water 15 Life On Land 16 Peace Justice and Strong Institutions 17 Partnerships for the Goals,P361,Backwards
Ethiopia,Kenya,Kenya, It shares borders with Eritrea to the north Djibouti and Somaliland to the northeast Somalia to the east Kenya to the south South Sudan to the west and Sudan to the northwest,P47,Backwards
Mauritius,Indian Ocean,Indian Ocean,Mauritius mɒrˈɪʃiəs mɔːˈ32listen MORISHeeəs maw French Maurice mɔʁis moʁis32listen Morisyen Moris moʁis officially the Republic of Mauritius is an island nation in the Indian Ocean about 2000 kilometres 1200160mi off the southeast coast of the African continent east of Madagascar,P1589,Forwards
Croatia,Hungary,Hungary,It borders Slovenia to the northwest Hungary to the northeast Serbia to the east Bosnia and Herzegovina and Montenegro to the southeast and shares a maritime border with Italy to the west and southwest,P530,Backwards
Sergei Winogradsky,Microbiologist,microbiologist,Sergei Nikolaievich Winogradsky ForMemRS or Vinogradskiy Ukrainian Сергій Миколайович Виноградський 1 September 1856 – 25 February 1953 was a Russian microbiologist ecologist and soil scientist who pioneered the cycleoflife concept,P106,Forwards
Sea of Azov,Sea,sea,The Sea of Azov Russian Азо́вское мо́ре Azóvskoje móre Ukrainian Азо́вське мо́ре Azóvśke móre Adyghe Хы МыутӀэ Crimean Tatar Azaq deñizi Азакъ денъизи is a sea in Eastern Europe connected to the Black Sea by the narrow about 4160km or 25160mi Strait of Kerch and is sometimes regarded as a northern extension of the Black Sea,P31,Forwards
